Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
HL_5N2_t0_R1	88.33594253614513	47962	0.7447814064871158	88.99346164471866	45.0	22.98314761948614	20	54.54545454545454	54295.0
HL_5N2_t0_R2	85.40395655391755	42696	0.5421471348607477	86.02404336607125	45.0	24.310643490088612	20	45.45454545454545	49993.0
HL_5N2_t0_R3	90.50024283632831	93170	0.4679202934561186	91.6930548810102	46.0	22.167887323943663	20	54.54545454545454	102950.0
HL_5N2_t0_R4	88.32147578848814	171689	0.5475407958175954	91.11738712183177	46.0	22.59425590690927	20	54.54545454545454	194391.0
HL_5N2_t1_R1	87.31781184932802	36904	0.5793645733599561	88.17196668559531	45.0	23.514149157675565	20	45.45454545454545	42264.0
HL_5N2_t1_R2	88.41136802346472	105801	0.5067485623006283	90.2581286715858	46.0	22.887197185570198	20	45.45454545454545	119669.0
HL_5N2_t1_R3	89.62940523073816	17752	0.47958096320912186	88.27123094011915	45.0	22.357467434110877	20	45.45454545454545	19806.0
HL_5N2_t1_R4	86.97591946462278	45618	0.5423667494283707	88.08579599618685	45.0	23.32610104861773	20	63.63636363636363	52450.0
HL_5N2_t2_R1	89.03178115206043	175844	0.5179270125535483	91.591690421099	45.0	22.52583452738384	20	45.45454545454545	197507.0
HL_5N2_t2_R2	91.79162940864597	115998	0.3584907155678155	93.37585363730602	46.0	22.043237768158836	20	54.54545454545454	126371.0
HL_5N2_t2_R3	90.079654829074	108564	0.4502753862339766	91.7772983737139	46.0	22.164819117158977	20	54.54545454545454	120520.0
HL_5N2_t2_R4	90.53778529860911	219364	0.49480218338715026	93.10248049857609	46.0	22.03721986049775	20	45.45454545454545	242290.0
HL_5N2_t3_R1	87.27523185415296	153957	0.5025278987023791	90.40668012063219	45.0	22.95654293553434	20	45.45454545454545	176404.0
HL_5N2_t3_R2	88.43997806059366	95134	0.5207256432137838	90.32342031626212	46.0	22.651433033680707	20	54.54545454545454	107569.0
HL_5N2_t3_R3	87.00747003776063	84794	0.6254884502087289	88.90268428829421	45.0	23.544060909538665	20	45.45454545454545	97456.0
HL_5N2_t3_R4	88.71143464050299	145752	0.47064533626915905	90.8526527854704	45.0	22.928222326368388	20	45.45454545454545	164299.0
HL_5N2_t4_R1	92.51398285421195	37878	0.33582017323618263	92.2941650587402	46.0	22.143711989839534	20	54.54545454545454	40943.0
HL_5N2_t4_R2	87.04663212435233	2688	0.541189494864871	83.58160621761658	47.0	22.598445595854923	20	45.45454545454545	3088.0
HL_5N2_t4_R3	90.17329358864245	35696	0.4855357393624491	90.18845046228465	45.0	22.19511948668721	20	45.45454545454545	39586.0
HL_5N2_t4_R4	88.24996221852803	58395	0.6088362718133444	89.16276258123017	45.0	23.015112588786458	20	45.45454545454545	66170.0
HL_5N2_t5_R1	87.33141578779163	68315	0.5476872643053664	88.87440076701822	46.0	23.133525087887502	20	54.54545454545454	78225.0
HL_5N2_t5_R2	89.10174717368962	43348	0.5111897373915529	90.29188078108942	47.0	22.534059609455294	20	54.54545454545454	48650.0
HL_5N2_t5_R3	88.70366738576192	18092	0.5185076455649716	87.65504731087906	45.0	22.635485610629015	20	54.54545454545454	20397.0
HL_5N2_t5_R4	90.25542820666725	94733	0.5127249593989837	91.80933870675774	45.0	22.092605825020723	20	54.54545454545454	104961.0
HL_5N2_t6_R1	87.95595994576671	53844	0.6116925509079415	89.12230262835487	46.0	22.999460934054266	20	54.54545454545454	61217.0
HL_5N2_t6_R2	89.52539023150058	93315	0.5375862825151517	92.15123809158328	48.0	22.452332754501935	20	54.54545454545454	104233.0
HL_5N2_t6_R3	91.00382273821323	64276	0.5112543952474509	91.97649723913351	45.0	21.88973523998301	20	45.45454545454545	70630.0
HL_5N2_t6_R4	91.28032565384649	106065	0.7229153982522074	92.88191605635257	46.0	21.909791130579965	20	54.54545454545454	116197.0
HL_5N2_t7_R1	88.11128703913141	58431	0.5035990085684021	89.86805398476966	46.0	23.18528236447259	20	54.54545454545454	66315.0
HL_5N2_t7_R2	87.17063801692575	29047	0.5043799492869964	88.03493187683813	47.0	24.016985775163555	20	54.54545454545454	33322.0
HL_5N2_t7_R3	89.54633374362582	10185	0.5268079228978102	87.62088974854932	46.0	22.290135396518377	20	54.54545454545454	11374.0
HL_5N2_t7_R4	89.81489167427576	32460	0.7450885720727021	89.92280235743338	46.0	22.520572203314796	20	54.54545454545454	36141.0
HL_5O2_t0_R1	88.9138539789141	36011	0.7684257634437499	89.03977679563468	46.0	22.67040319992099	20	54.54545454545454	40501.0
HL_5O2_t0_R2	87.72097528645534	68825	0.6333129879989045	88.99680087689111	46.0	23.037510037089437	20	54.54545454545454	78459.0
HL_5O2_t0_R3	87.75148881377757	21808	0.5310651727124795	86.96334446545688	46.0	22.97066752504728	20	63.63636363636363	24853.0
HL_5O2_t0_R4	88.16000796239578	194868	0.5934807116551448	91.07442578006597	46.0	22.686313275032912	20	54.54545454545454	221039.0
HL_5O2_t1_R1	87.00391693149065	70635	0.7466882672206346	88.47091863129111	45.0	23.36466878525854	20	54.54545454545454	81186.0
HL_5O2_t1_R2	87.76536393803707	60566	0.5322345582454844	89.08982886290194	46.0	23.18065759538611	20	54.54545454545454	69009.0
HL_5O2_t1_R3	88.60807878209977	215587	0.5427542975087121	91.51678558511163	46.0	22.578962943478118	20	54.54545454545454	243304.0
HL_5O2_t1_R4	90.58437731077127	169054	0.5332094975394966	92.5840986786407	46.0	22.123659082871626	20	54.54545454545454	186626.0
HL_5O2_t2_R1	88.33830318799866	76728	0.7437698960804813	89.82120036381639	45.0	22.853748114717295	20	54.54545454545454	86857.0
HL_5O2_t2_R2	86.76002328208992	101360	0.5641400470424839	88.81518129215598	46.0	23.551939603519703	20	45.45454545454545	116828.0
